cards unseen: 130
running count	true count	EV		frequency
-44		-17.6   	-0.44469	1e-06
-43		-17.2   	-0.43686	1e-06
-42		-16.8   	-0.42895	1e-06
-41		-16.4   	-0.42103	2e-06
-40		-16.0   	-0.41312	4e-06
-39		-15.6   	-0.40513	6e-06
-38		-15.2   	-0.39713	9e-06
-37		-14.8   	-0.3891 	1.4e-05
-36		-14.4   	-0.38102	2.2e-05
-35		-14.0   	-0.37290	3.3e-05
-34		-13.6   	-0.36478	4.9e-05
-33		-13.2   	-0.35662	7.2e-05
-32		-12.8   	-0.34842	0.000106
-31		-12.4   	-0.34022	0.000153
-30		-12.0   	-0.33198	0.000217
-29		-11.6   	-0.32370	0.000306
-28		-11.2   	-0.31542	0.000427
-27		-10.8   	-0.3071 	0.000588
-26		-10.4   	-0.29877	0.000801
-25		-10.0   	-0.29041	0.001078
-24		-9.6    	-0.28200	0.001436
-23		-9.2    	-0.27360	0.001889
-22		-8.8    	-0.26515	0.002458
-21		-8.4    	-0.25671	0.003161
-20		-8.0    	-0.24826	0.00402
-19		-7.6    	-0.23977	0.005055
-18		-7.2    	-0.23129	0.006283
-17		-6.8    	-0.22276	0.007721
-16		-6.4    	-0.21423	0.009379
-15		-6.0    	-0.20566	0.011265
-14		-5.6    	-0.19709	0.013375
-13		-5.2    	-0.18852	0.015699
-12		-4.8    	-0.17991	0.018216
-11		-4.4    	-0.17130	0.020894
-10		-4.0    	-0.16269	0.023691
-9		-3.6    	-0.15408	0.026553
-8		-3.2    	-0.14543	0.029417
-7		-2.8    	-0.13682	0.032214
-6		-2.4    	-0.12817	0.034866
-5		-2.0    	-0.11948	0.037298
-4		-1.6    	-0.11083	0.039433
-3		-1.2    	-0.10218	0.041202
-2		-0.8    	-0.09349	0.042544
-1		-0.4    	-0.08483	0.043411
0		0.0     	-0.07614	0.04377
1		0.4     	-0.06749	0.043607
2		0.8     	-0.05880	0.042924
3		1.2     	-0.05011	0.041745
4		1.6     	-0.04146	0.040107
5		2.0     	-0.03276	0.038066
6		2.4     	-0.02411	0.035688
7		2.8     	-0.01546	0.033047
8		3.2     	-0.00677	0.030223
9		3.6     	0.001835	0.027298
10		4.0     	0.010486	0.024347
11		4.4     	0.019137	0.021441
12		4.8     	0.027747	0.018643
13		5.2     	0.036357	0.016003
14		5.6     	0.044967	0.01356
15		6.0     	0.053536	0.011341
16		6.4     	0.062146	0.009361
17		6.8     	0.070674	0.007625
18		7.2     	0.079243	0.006128
19		7.6     	0.087771	0.004859
20		8.0     	0.096258	0.0038
21		8.4     	0.104745	0.002932
22		8.8     	0.113232	0.002231
23		9.2     	0.121678	0.001673
24		9.6     	0.130083	0.001238
25		10.0    	0.138488	0.000902
26		10.4    	0.146893	0.000648
27		10.8    	0.155216	0.000459
28		11.2    	0.163539	0.00032
29		11.6    	0.171862	0.00022
30		12.0    	0.180144	0.000149
31		12.4    	0.188385	9.9e-05
32		12.8    	0.196585	6.5e-05
33		13.2    	0.204785	4.2e-05
34		13.6    	0.212944	2.7e-05
35		14.0    	0.221062	1.7e-05
36		14.4    	0.229139	1e-05
37		14.8    	0.237216	6e-06
38		15.2    	0.245252	4e-06
39		15.6    	0.253247	2e-06
40		16.0    	0.261201	1e-06
41		16.4    	0.269114	1e-06
